MeterId,Fac Id,Desc,Date,VolYdy,Casing,Tubing,Static
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/22/2020,946.9504,,,202.3916654
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/21/2020,989.488,,,202.6619942
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/20/2020,964.2258,,,200.3668552
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/19/2020,991.8768,,,202.882455
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/18/2020,981.8028,,,200.2621989
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/17/2020,861.9801,,,198.0442715
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/16/2020,1012.95,,,198.5831452
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/15/2020,992.1203,,,198.6371926
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/14/2020,987.1465,,,198.3017696
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/13/2020,989.8643,,,199.806676
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/12/2020,983.0403,,,198.6075856
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/11/2020,985.3663,,,202.3700907
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/10/2020,994.0235,,,201.8113252
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/9/2020,986.3345,,,200.2575174
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/8/2020,995.8267,,,200.7393743
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/7/2020,994.409,,,200.7255106
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/6/2020,992.7346,,,201.1896246
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/5/2020,995.3208,,,203.0232299
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/4/2020,993.0057,,,201.7261502
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/3/2020,991.6391,,,202.1350759
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/2/2020,995.9863,,,203.548753
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,12/1/2020,1000.519,,,201.7598994
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/31/2020,285.4059,,,249.1579034
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/30/2020,284.8293,,,250.016823
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/29/2020,290.6334,,,351.3434901
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/28/2020,292.3297,,,249.0841412
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/27/2020,297.2663,,,278.0683499
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/26/2020,311.5394,,,231.4410575
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/25/2020,346.3369,,,265.5131522
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/24/2020,227.6604,,,227.5904115
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/23/2020,199.786,,,222.3336648
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/22/2020,318.6753,,,239.7133833
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/21/2020,356.493,,,219.8833113
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/20/2020,235.2978,,,217.7192001
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/19/2020,161.7249,,,209.9837492
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/18/2020,285.3076,,,208.5182305
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/17/2020,278.2485,,,213.6214474
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/16/2020,245.0181,,,214.0772602
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/15/2020,312.1904,,,213.0041263
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/14/2020,322.4994,,,240.0638991
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/13/2020,327.0993,,,231.2087441
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/12/2020,288.3483,,,216.6303693
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/11/2020,290.339,,,219.8157165
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/10/2020,522.7127,,,219.0980694
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/9/2020,412.8719,,,187.0602597
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/8/2020,318.0915,,,218.5492353
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/7/2020,274.2688,,,217.4066055
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/6/2020,283.2365,,,217.2701774
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/5/2020,530.7287,,,218.505176
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/4/2020,470.7101,,,224.3284285
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/3/2020,296.2444,,,230.8173254
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/2/2020,286.3127,,,221.2349888
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,12/1/2020,295.8541,,,218.9591969
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/31/2020,447.9283,,,193.7540467
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/30/2020,498.2728,,,197.1751753
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/29/2020,492.0371,,,189.4869677
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/28/2020,500.3934,,,224.4650981
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/27/2020,509.5159,,,254.9500887
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/26/2020,514.0987,,,206.953129
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/25/2020,518.3051,,,192.6455204
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/24/2020,519.3926,,,197.703404
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/23/2020,522.5852,,,194.055612
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/22/2020,533.4973,,,196.3669395
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/21/2020,540.6088,,,196.3394711
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/20/2020,541.5446,,,193.9461536
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/19/2020,538.6665,,,196.6564336
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/18/2020,533.5218,,,194.039306
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/17/2020,528.9807,,,191.9518616
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/16/2020,523.9989,,,192.5083079
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/15/2020,545.8304,,,192.1185148
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/14/2020,550.4008,,,191.7650746
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/13/2020,608.1102,,,193.3937379
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/12/2020,644.3691,,,192.919527
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/11/2020,679.4781,,,196.3859011
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/10/2020,676.2638,,,196.1955989
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/9/2020,675.8908,,,194.0386057
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/8/2020,680.6832,,,195.0627861
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/7/2020,678.806,,,194.9834092
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/6/2020,679.0731,,,195.8138396
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/5/2020,680.2308,,,196.8940668
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/4/2020,671.1973,,,196.3040556
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/3/2020,679.7828,,,196.455681
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/2/2020,691.6946,,,198.4537725
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,12/1/2020,649.3474,,,196.0975918
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/31/2020,,,,
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/30/2020,,,,
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/29/2020,,,,
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/28/2020,,,,
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/27/2020,,,,
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/26/2020,,,,
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/25/2020,,,,
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/24/2020,,,,
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/23/2020,,,,
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/22/2020,,,,
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/21/2020,,,,
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/20/2020,,,,
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/19/2020,,,,
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/18/2020,,,,
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/17/2020,,,,
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/16/2020,,,,
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/15/2020,375.2967,,,45.31303476
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/14/2020,373.6992,,,45.53167133
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/13/2020,373.6706,,,46.21949053
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/12/2020,373.9649,,,47.36091408
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/11/2020,374.7398,,,47.3008997
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/10/2020,375.351,,,47.35099726
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/9/2020,374.4556,,,46.62796313
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,12/8/2020,378.2588,,,53.9257135
